Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,WaterCnt,Profit,Water1,Water2,Water3,Water4
2025-03-28 04:25:00+00:00,86741.98,OPEN,5494,,4,0.0,2025-03-28 05:46:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:26:00+00:00,86767.29,OPEN,5493,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:27:00+00:00,86775.75,OPEN,5492,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:28:00+00:00,86721.91,OPEN,5491,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:29:00+00:00,86712.09,OPEN,5490,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:30:00+00:00,86700.18,OPEN,5489,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:31:00+00:00,86642.55,OPEN,5488,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:07:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:32:00+00:00,86585.94,OPEN,5487,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 10:07:00+00:00,2025-03-29 11:45:00+00:00
2025-03-28 04:33:00+00:00,86607.2,OPEN,5486,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 10:07:00+00:00,2025-03-29 11:44:00+00:00
2025-03-28 04:34:00+00:00,86617.52,OPEN,5485,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 10:07:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:35:00+00:00,86630.05,OPEN,5484,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:36:00+00:00,86579.37,OPEN,5483,,4,0.0,2025-03-28 06:58:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 10:08:00+00:00,2025-03-29 11:45:00+00:00
2025-03-28 04:37:00+00:00,86552.23,OPEN,5482,,4,0.0,2025-03-28 07:24:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 10:32:00+00:00,2025-03-29 17:12:00+00:00
2025-03-28 04:38:00+00:00,86522.0,OPEN,5481,,4,0.0,2025-03-28 07:25:00+00:00,2025-03-28 14:08:00+00:00,2025-03-29 10:34:00+00:00,2025-03-29 17:12:00+00:00
2025-03-28 04:39:00+00:00,86449.98,OPEN,5480,,4,0.0,2025-03-28 07:31:00+00:00,2025-03-28 14:09:00+00:00,2025-03-29 10:46:00+00:00,2025-03-29 17:14:00+00:00
2025-03-28 04:40:00+00:00,86221.05,OPEN,5479,,4,0.0,2025-03-28 07:35:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 04:41:00+00:00,86320.01,OPEN,5478,,4,0.0,2025-03-28 07:33:00+00:00,2025-03-28 14:12:00+00:00,2025-03-29 10:47:00+00:00,2025-03-29 17:16:00+00:00
2025-03-28 04:42:00+00:00,86280.99,OPEN,5477,,4,0.0,2025-03-28 07:33:00+00:00,2025-03-28 14:32:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:16:00+00:00
2025-03-28 04:43:00+00:00,86324.8,OPEN,5476,,4,0.0,2025-03-28 07:33:00+00:00,2025-03-28 14:12:00+00:00,2025-03-29 10:47:00+00:00,2025-03-29 17:16:00+00:00
2025-03-28 04:44:00+00:00,86251.57,OPEN,5475,,4,0.0,2025-03-28 07:34:00+00:00,2025-03-28 14:32:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 04:45:00+00:00,86189.52,OPEN,5474,,4,0.0,2025-03-28 07:39:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 04:46:00+00:00,86186.9,OPEN,5473,,4,0.0,2025-03-28 07:39:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 04:47:00+00:00,86260.01,OPEN,5472,,4,0.0,2025-03-28 07:34:00+00:00,2025-03-28 14:32:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:16:00+00:00
2025-03-28 04:48:00+00:00,86204.51,OPEN,5471,,4,0.0,2025-03-28 07:35:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 04:49:00+00:00,86144.0,OPEN,5470,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 04:50:00+00:00,86142.56,OPEN,5469,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 04:57:00+00:00,86105.91,OPEN,5462,,4,0.0,2025-03-28 07:43:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 04:58:00+00:00,86218.9,OPEN,5461,,4,0.0,2025-03-28 07:35:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 04:59:00+00:00,86305.38,OPEN,5460,,4,0.0,2025-03-28 07:33:00+00:00,2025-03-28 14:18:00+00:00,2025-03-29 10:51:00+00:00,2025-03-29 17:16:00+00:00
2025-03-28 05:00:00+00:00,86188.98,OPEN,5459,,4,0.0,2025-03-28 07:39:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 05:01:00+00:00,86213.74,OPEN,5458,,4,0.0,2025-03-28 07:35:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 05:02:00+00:00,86194.53,OPEN,5457,,4,0.0,2025-03-28 07:39:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 05:03:00+00:00,86229.47,OPEN,5456,,4,0.0,2025-03-28 07:35:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 05:04:00+00:00,86173.31,OPEN,5455,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:05:00+00:00,86114.48,OPEN,5454,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:06:00+00:00,86207.4,OPEN,5453,,4,0.0,2025-03-28 07:35:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 05:07:00+00:00,86185.87,OPEN,5452,,4,0.0,2025-03-28 07:39:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-29 17:17:00+00:00
2025-03-28 05:08:00+00:00,86090.76,OPEN,5451,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:09:00+00:00,86070.83,OPEN,5450,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:10:00+00:00,86145.35,OPEN,5449,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:11:00+00:00,86153.17,OPEN,5448,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:12:00+00:00,86115.26,OPEN,5447,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:13:00+00:00,86068.01,OPEN,5446,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:14:00+00:00,86075.93,OPEN,5445,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:15:00+00:00,86049.98,OPEN,5444,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:58:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:17:00+00:00,86064.83,OPEN,5442,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:19:00+00:00,86027.29,OPEN,5440,,4,0.0,2025-03-28 08:20:00+00:00,2025-03-28 15:02:00+00:00,2025-03-29 11:18:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:20:00+00:00,86049.99,OPEN,5439,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:58:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:21:00+00:00,86181.24,OPEN,5438,,4,0.0,2025-03-28 07:39:00+00:00,2025-03-28 14:36:00+00:00,2025-03-29 10:53:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:22:00+00:00,86148.42,OPEN,5437,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:23:00+00:00,86108.29,OPEN,5436,,4,0.0,2025-03-28 07:43:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:24:00+00:00,86099.68,OPEN,5435,,4,0.0,2025-03-28 07:43:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:25:00+00:00,86035.08,OPEN,5434,,4,0.0,2025-03-28 08:20:00+00:00,2025-03-28 15:02:00+00:00,2025-03-29 11:18:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:26:00+00:00,86048.0,OPEN,5433,,4,0.0,2025-03-28 07:55:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:58:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:27:00+00:00,86081.87,OPEN,5432,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:28:00+00:00,86034.97,OPEN,5431,,4,0.0,2025-03-28 08:20:00+00:00,2025-03-28 15:02:00+00:00,2025-03-29 11:18:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:36:00+00:00,86031.98,OPEN,5423,,4,0.0,2025-03-28 08:20:00+00:00,2025-03-28 15:02:00+00:00,2025-03-29 11:18:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:52:00+00:00,86059.41,OPEN,5407,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:53:00+00:00,86120.0,OPEN,5406,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:54:00+00:00,86132.43,OPEN,5405,,4,0.0,2025-03-28 07:41:00+00:00,2025-03-28 14:51:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:55:00+00:00,86042.67,OPEN,5404,,4,0.0,2025-03-28 08:20:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 11:18:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:56:00+00:00,86089.12,OPEN,5403,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:57:00+00:00,86094.47,OPEN,5402,,4,0.0,2025-03-28 07:43:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-30 22:08:00+00:00
2025-03-28 05:58:00+00:00,86049.17,OPEN,5401,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:58:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 05:59:00+00:00,86059.02,OPEN,5400,,4,0.0,2025-03-28 07:47:00+00:00,2025-03-28 15:01:00+00:00,2025-03-29 10:56:00+00:00,2025-03-31 00:41:00+00:00
2025-03-28 06:00:00+00:00,86037.36,OPEN,5399,,4,0.0,2025-03-28 08:20:00+00:00,2025-03-28 15:02:00+00:00,2025-03-29 11:18:00+00:00,2025-03-31 00:41:00+00:00
