timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1750541280000000,101782.0,101980.0,101782.0,101942.11,29.74665,1750541339999999,3030914.0571766,11280,17.75416,1808837.5326953,0,2025-06-21 21:28:00+00:00
1750541340000000,101942.11,101942.31,101824.91,101848.0,22.60675,1750541399999999,2302840.829973,5915,11.24152,1145027.1726479,0,2025-06-21 21:29:00+00:00
1750541400000000,101848.0,101903.93,101560.0,101726.51,114.18557,1750541459999999,11621223.0080662,17247,85.30645,8683896.1250029,0,2025-06-21 21:30:00+00:00
1750541460000000,101726.52,101753.7,101291.98,101293.47,190.01774,1750541519999999,19279301.3151053,21805,56.78734,5761995.7615384,0,2025-06-21 21:31:00+00:00
1750541520000000,101293.47,101552.77,101292.84,101400.0,129.6622,1750541579999999,13150405.6169997,18689,58.40736,5923204.2118377,0,2025-06-21 21:32:00+00:00
1750541580000000,101400.01,101480.0,101275.27,101333.4,69.87959,1750541639999999,7083195.5110143,18935,29.36252,2976051.2357904,0,2025-06-21 21:33:00+00:00
1750541640000000,101333.41,101409.46,101110.0,101284.01,102.33333,1750541699999999,10361136.0816182,19998,27.10409,2744904.4288169,0,2025-06-21 21:34:00+00:00
1750541700000000,101284.0,101427.28,101209.51,101412.11,71.27674,1750541759999999,7219040.1274395,12441,24.1191,2442790.2771554,0,2025-06-21 21:35:00+00:00
1750541760000000,101412.1,101622.28,101384.67,101475.99,38.24352,1750541819999999,3881071.4312218,16589,22.96226,2330118.594653,0,2025-06-21 21:36:00+00:00
1750541820000000,101476.0,101517.87,101298.38,101460.84,37.08895,1750541879999999,3759614.9255895,13515,17.33683,1757457.8389377,0,2025-06-21 21:37:00+00:00
1750541880000000,101460.84,101477.51,101300.49,101388.73,30.82256,1750541939999999,3124399.8271499,10965,15.90402,1611939.2290529,0,2025-06-21 21:38:00+00:00
1750541940000000,101388.73,101481.9,101388.73,101420.69,29.02658,1750541999999999,2944270.8083591,9853,15.18202,1539908.6303622,0,2025-06-21 21:39:00+00:00
1750542000000000,101420.69,101566.64,101370.99,101566.64,21.12868,1750542059999999,2143278.2466804,6397,12.96888,1315776.7224613,0,2025-06-21 21:40:00+00:00
1750542060000000,101566.64,101743.1,101566.64,101737.31,24.5803,1750542119999999,2498940.9372946,5707,18.39343,1870053.0527032,0,2025-06-21 21:41:00+00:00
1750542120000000,101737.31,101838.07,101733.16,101749.3,17.29849,1750542179999999,1760781.3172026,6079,12.12883,1234555.8528381,0,2025-06-21 21:42:00+00:00
1750542180000000,101749.31,101759.6,101636.7,101759.6,16.14977,1750542239999999,1642183.0071167,4071,11.61897,1181347.9551416,0,2025-06-21 21:43:00+00:00
1750542240000000,101759.6,101827.31,101666.38,101827.31,25.70225,1750542299999999,2614496.0828384,7374,20.85963,2121829.9327835,0,2025-06-21 21:44:00+00:00
1750542300000000,101827.31,101827.31,101523.8,101525.19,30.22756,1750542359999999,3071363.0736947,5979,15.58058,1582558.0265897,0,2025-06-21 21:45:00+00:00
1750542360000000,101525.2,101659.49,101525.19,101620.01,23.7681,1750542419999999,2414833.0271563,6816,12.64028,1283997.9640817,0,2025-06-21 21:46:00+00:00
1750542420000000,101620.01,101646.72,101620.0,101628.01,3.56658,1750542479999999,362457.1284288,1425,2.40966,244880.7306475,0,2025-06-21 21:47:00+00:00
1750542480000000,101628.01,101694.07,101628.01,101694.06,8.44726,1750542539999999,858742.8805618,4675,5.39248,548169.2839484,0,2025-06-21 21:48:00+00:00
1750542540000000,101694.06,101789.03,101690.74,101789.03,11.34546,1750542599999999,1154310.4945279,2709,7.57777,771052.8468777,0,2025-06-21 21:49:00+00:00
1750542600000000,101789.03,101799.46,101674.03,101674.03,17.92397,1750542659999999,1824097.407259,3195,1.85587,188871.0143933,0,2025-06-21 21:50:00+00:00
1750542660000000,101674.03,101677.84,101633.57,101659.8,13.83151,1750542719999999,1406087.5584856,5269,4.68602,476311.8847064,0,2025-06-21 21:51:00+00:00
1750542720000000,101659.8,101751.55,101659.8,101737.81,7.15156,1750542779999999,727349.5480139,4079,3.74455,380794.1725069,0,2025-06-21 21:52:00+00:00
1750542780000000,101737.81,101742.15,101712.12,101742.01,6.11089,1750542839999999,621680.0682386,1961,2.74781,279528.584925,0,2025-06-21 21:53:00+00:00
1750542840000000,101742.02,101789.71,101742.01,101760.0,10.50052,1750542899999999,1068533.6203053,3743,5.64555,574422.7286594,0,2025-06-21 21:54:00+00:00
1750542900000000,101760.01,101760.01,101633.0,101633.01,13.88548,1750542959999999,1412153.9608161,4006,0.9302,94592.0318304,0,2025-06-21 21:55:00+00:00
1750542960000000,101633.01,101633.01,101410.29,101452.33,21.1509,1750543019999999,2147186.0098158,6283,6.80926,691161.0956985,0,2025-06-21 21:56:00+00:00
1750543020000000,101452.33,101593.11,101452.33,101574.0,11.0585,1750543079999999,1123105.5349987,3210,4.69437,476697.5015811,0,2025-06-21 21:57:00+00:00
1750543080000000,101574.01,101574.01,101416.01,101552.7,27.66778,1750543139999999,2808527.0571803,8630,12.14611,1232625.076189,0,2025-06-21 21:58:00+00:00
1750543140000000,101552.7,101552.7,101401.57,101455.61,12.33236,1750543199999999,1251292.294385,4647,4.22787,428919.0123669,0,2025-06-21 21:59:00+00:00
1750543200000000,101455.61,101520.0,101446.74,101503.0,10.97054,1750543259999999,1113160.3845781,5658,5.7975,588246.2677166,0,2025-06-21 22:00:00+00:00
1750543260000000,101503.01,101650.0,101502.86,101650.0,7.07932,1750543319999999,719115.927284,4392,6.53018,663331.752566,0,2025-06-21 22:01:00+00:00
1750543320000000,101650.0,101690.79,101649.99,101670.16,15.01852,1750543379999999,1527036.2146213,4769,6.2899,639531.0230039,0,2025-06-21 22:02:00+00:00
1750543380000000,101670.16,101670.16,101536.61,101612.7,15.80638,1750543439999999,1606046.2139021,5138,5.19241,527513.531795,0,2025-06-21 22:03:00+00:00
1750543440000000,101612.7,101639.47,101608.31,101630.99,9.75197,1750543499999999,991088.3903737,2867,3.63319,369228.647362,0,2025-06-21 22:04:00+00:00
1750543500000000,101631.0,101712.13,101624.1,101711.17,19.06655,1750543559999999,1938561.405655,4197,15.57641,1583670.7764784,0,2025-06-21 22:05:00+00:00
1750543560000000,101711.18,101732.53,101691.62,101732.52,9.88093,1750543619999999,1004948.6247847,2178,5.59061,568610.6698076,0,2025-06-21 22:06:00+00:00
1750543620000000,101732.53,101807.08,101732.53,101807.08,5.63941,1750543679999999,573852.8751442,1603,3.62332,368711.1692636,0,2025-06-21 22:07:00+00:00
1750543680000000,101807.08,102000.0,101807.07,101977.91,41.82369,1750543739999999,4261558.1159399,6184,34.80099,3545735.7483715,0,2025-06-21 22:08:00+00:00
1750543740000000,101977.91,101977.91,101889.24,101952.85,11.52144,1750543799999999,1174402.9583241,2998,4.99347,508907.9866045,0,2025-06-21 22:09:00+00:00
1750543800000000,101952.85,101976.6,101932.5,101932.51,10.83962,1750543859999999,1105125.0982942,2424,2.91283,296973.9088182,0,2025-06-21 22:10:00+00:00
1750543860000000,101932.5,101932.51,101836.4,101841.59,10.63025,1750543919999999,1083120.1670808,2552,2.73045,278167.151195,0,2025-06-21 22:11:00+00:00
1750543920000000,101841.6,101908.56,101836.4,101848.3,9.16603,1750543979999999,933767.0930103,2596,2.67808,272808.4368617,0,2025-06-21 22:12:00+00:00
1750543980000000,101848.29,101878.5,101833.16,101852.0,17.46916,1750544039999999,1779236.165691,2087,7.77448,791822.7096282,0,2025-06-21 22:13:00+00:00
1750544040000000,101851.81,101890.17,101780.77,101886.93,19.86826,1750544099999999,2023118.8476636,3032,8.37213,852509.8305888,0,2025-06-21 22:14:00+00:00
1750544100000000,101886.92,101886.93,101800.61,101816.3,5.96559,1750544159999999,607489.8523835,2250,3.00438,305926.7122034,0,2025-06-21 22:15:00+00:00
